iter	Passed	Remaining
717	3852	1513
718	3857	1507
719	3862	1502
720	3867	1496
721	3872	1490
722	3877	1485
723	3882	1480
724	3887	1474
725	3891	1468
726	3896	1463
727	3902	1457
728	3907	1452
729	3912	1447
730	3918	1441
731	3922	1436
732	3927	1430
733	3932	1425
734	3937	1419
735	3942	1414
736	3947	1408
737	3952	1403
738	3957	1397
739	3961	1392
740	3967	1386
741	3971	1381
742	3976	1375
743	3981	1370
744	3987	1364
745	3991	1359
746	3996	1353
747	4001	1348
748	4006	1342
749	4011	1337
750	4016	1331
751	4021	1326
752	4026	1320
753	4030	1315
754	4035	1309
755	4040	1304
756	4045	1298
757	4050	1293
758	4059	1288
759	4064	1283
760	4067	1277
761	4073	1272
762	4077	1266
763	4082	1260
764	4086	1255
765	4094	1250
766	4101	1245
767	4106	1240
768	4125	1239
769	4130	1233
770	4135	1228
771	4141	1223
772	4146	1217
773	4152	1212
774	4157	1206
775	4161	1201
776	4172	1197
777	4175	1191
778	4180	1186
779	4185	1180
780	4190	1175
781	4195	1169
782	4200	1164
783	4205	1158
784	4210	1153
785	4215	1147
786	4221	1142
787	4224	1136
788	4230	1131
789	4234	1125
790	4239	1120
791	4244	1114
792	4249	1109
793	4254	1103
794	4260	1098
795	4264	1093
796	4270	1087
797	4273	1081
798	4278	1076
799	4283	1070
800	4288	1065
801	4292	1059
802	4297	1054
803	4302	1048
804	4307	1043
805	4312	1037
806	4317	1032
807	4321	1026
808	4326	1021
809	4331	1016
810	4336	1010
811	4351	1007
812	4356	1002
813	4361	996
814	4366	991
815	4370	985
816	4375	980
817	4380	974
818	4385	969
819	4390	963
820	4395	958
821	4400	952
822	4405	947
823	4410	941
824	4415	936
825	4419	931
826	4424	925
827	4430	920
828	4434	914
829	4439	909
830	4444	903
831	4449	898
832	4454	892
833	4459	887
834	4464	882
835	4469	876
836	4474	871
837	4478	865
838	4483	860
839	4489	855
840	4494	849
841	4499	844
842	4504	838
843	4509	833
844	4514	828
845	4519	822
846	4525	817
847	4530	812
848	4535	806
849	4539	801
850	4544	795
851	4549	790
852	4553	784
853	4558	779
854	4563	773
855	4568	768
856	4573	763
857	4578	757
858	4583	752
859	4588	746
860	4592	741
861	4596	735
862	4602	730
863	4606	725
864	4616	720
865	4621	715
866	4626	709
867	4631	704
868	4636	698
869	4641	693
870	4647	688
871	4652	682
872	4656	677
873	4661	672
874	4666	666
875	4671	661
876	4676	655
877	4681	650
878	4695	646
879	4700	640
880	4705	635
881	4710	630
882	4715	624
883	4719	619
884	4724	613
885	4729	608
886	4737	603
887	4745	598
888	4750	593
889	4755	587
890	4760	582
891	4765	576
892	4770	571
893	4775	566
894	4780	560
895	4785	555
896	4790	550
897	4796	544
898	4800	539
899	4805	533
900	4810	528
901	4815	523
902	4829	518
903	4841	514
904	4846	508
905	4851	503
906	4857	498
907	4862	492
908	4868	487
909	4872	481
910	4877	476
911	4882	471
912	4887	465
913	4892	460
914	4897	454
915	4902	449
916	4907	444
917	4914	439
918	4918	433
919	4924	428
920	4929	422
921	4935	417
922	4940	412
923	4946	406
924	4952	401
925	4956	396
926	4961	390
927	4966	385
928	4971	379
929	4976	374
930	4981	369
931	4986	363
932	4991	358
933	4997	353
934	5001	347
935	5007	342
936	5010	336
937	5015	331
938	5020	326
939	5024	320
940	5029	315
941	5034	309
942	5039	304
943	5044	299
944	5049	293
945	5054	288
946	5058	283
947	5062	277
948	5067	272
949	5071	266
950	5077	261
951	5081	256
952	5086	250
953	5091	245
954	5096	240
955	5101	234
956	5106	229
957	5111	224
