iter	Passed	Remaining
400	785	1172
401	786	1170
402	788	1168
403	790	1166
404	792	1164
405	794	1162
406	796	1160
407	798	1158
408	799	1155
409	801	1153
410	803	1151
411	805	1149
412	807	1147
413	808	1144
414	810	1142
415	812	1140
416	813	1137
417	815	1135
418	817	1132
419	818	1130
420	820	1128
421	822	1126
422	823	1123
423	825	1121
424	827	1118
425	828	1116
426	830	1114
427	832	1112
428	833	1109
429	835	1107
430	837	1105
431	838	1102
432	840	1100
433	842	1098
434	844	1096
435	845	1093
436	847	1091
437	848	1089
438	850	1087
439	852	1084
440	853	1082
441	855	1080
442	857	1077
443	858	1075
444	860	1073
445	862	1071
446	864	1069
447	865	1066
448	867	1064
449	869	1062
450	870	1059
451	872	1057
452	873	1055
453	875	1053
454	877	1051
